user_id,offer_id,user_age
093425d6b8a0c747f0ea7e03edcdcc2c,1,0
0b346b09780450a9420b8251759ec7bb,1,0
0c11d22aea4cbcb7908a3e4509fca050,1,0
0ef0b676bebbcf5046104c27c642c95c,3,0
1001d1935ccf07127386fe5f9bff51cb,1,0
13dd0a1135c99f886ff4006aa3c820ba,0,0
13f059b30c9412bf4278337b23941e91,1,0
17ffc74d0a963b61f7c04843703a49f9,0,0
191c62d342811d1a0d3d0528ec35cd2d,1,0
1e9f183fdcb1439df06b39b382b73fc5,3,0
2084bc2c25ea3e06ababaca8654d8bdc,0,0
261e94c8bd5be8a6d96b08174a053e2a,3,0
2aa6d15e74b7a8122894a3196756724a,1,0
2f803d26ce47b9f9de9af69e5b73e3d1,3,0
3057ed379d86d22f0d349626be93b518,1,0
34f8d03275476f4b1f0e18c39d0cced2,0,0
350035841e1182bf4389c52752d8bd0d,3,0
35a0f1963430da063133ba27d695f851,1,0
37fc487ab6d2b447b8c767892ba60c64,1,0
3c88a3512dba36566e1b3253c8c0e476,0,0
3dc7a59772f09f208e83860dbc548e2f,1,0
42c05e2c5d1aae1131821206730451db,1,0
44cdea3ba11527b847ff44a286958d17,3,0
45fbc6d3e05ebd93369ce542e8f2322d,1,0
495360cbf18a7d5004ff72f49254e069,3,0
4f97b077257bc3754bf87d1aa6965739,1,0
510731ac096ebcb3989fb1ed5b7075bb,3,0
5443f922c7834b725b0688b2d77a1ff2,1,0
582d3a30d3910caa95dd1805d3e4f9a0,0,0
5bd529d5b07b647a8863cf71e98d651a,1,0
60a6a2bbb35f181c7968046d304e2ef4,1,0
61ba87bf4177f576150389d84d14bb01,1,0
638d47139efc03d8e8381d5c3c16b8de,0,0
64032936861acae6d3f4aaa0c94184f2,0,0
641fa0b1a3fff695481b7916bdcef618,1,0
66de6afdfb5fb3c21d0e3b5c3226bf00,1,0
671f60ea09b13a4fe03b3d0ecf5c9a53,1,0
698b75822e5343e2d315180b2fcbb5a0,0,0
6a83cd48b0fc245146c20bfed5223a60,0,0
6b04380b67c55d6075bc2f0a9534f0cd,3,0
6ba7a2ebe0487e7276a4fdcd81eadbfe,1,0
6cdcff861dfae52e213c13e412073ed7,3,0
6d628faa2a6071cdbebc37ae626c7bf0,1,0
740f0ae2a2a8c9163df39ee718e1343c,3,0
79523483207cf046d052ee0fe11c049c,1,0
7b497aa1b2a83ec63d1777a88676b0c2,1,0
7bb3ce9af7339cbc77307511d02ee1c7,3,0
7ec5f76a90c16e97fa29d818fcfaaa33,0,0
8142ec170100efb7e9b094ad284f6b8c,0,0
8296396f4a364c8058e13bb79a2d7c46,1,0
842efe847039f0f979d17167a42f1acd,1,0
8721e32f7be426fb9fd2e347dbec4018,3,0
8934776177902eeb30ef39b047c6b1ff,3,0
894d4b4665b798cc65d67cd6a32706aa,1,0
8c3b50b8ec30d193d47be99100ef44a5,1,0
8fa32786809e15b9acbe03074ded4a0d,1,0
8fa32786809e15b9acbe03074ded4a0d,3,0
9000fd3e33ab8b5f33b60f5a067f1ba7,0,0
90260a036ba6436a5d7b284f27f4c050,1,0
91adc0b4a4d3c438b79e27d3768a00ae,0,0
922dcfdcc5792cd2364cbcce9b00c96e,1,0
950c53c380726db3db5af07d51cda033,1,0
98a7f5c2958c41976cfdaf6a5a62825d,1,0
9a118e10f7b76bafab2705dff8c70aef,0,0
9d684c589d67031a627ad33d59db65e5,1,0
9eed2445f52956c80acaa2a450f0ed33,0,0
a20260c9c6a9016c10a87c79e54087ad,0,0
a3eeb85d2a4dfc1d8ef3321de5130a7e,0,0
a432563860847cae6bc06d64bf81d0df,0,0
b4ef33d9fc6b2532fb6cac7aa7538798,3,0
b6512ba2ef13d7241ba28dbf20bff5a7,1,0
b8cfbf77a3d250a4523ba67a65a7d031,3,0
bacea30d16b0bb49c20bbd59106591e4,1,0
bbb1f737383f5df4345c5695768bbd7f,1,0
bbb1f737383f5df4345c5695768bbd7f,3,0
be29a77514abbab45ce7c52d27ee292d,3,0
c0c7e4d87b31f2802c65c8405d5b2f53,0,0
c40c01024a2299498ce379d3253daec4,1,0
c451e9d211975ecd46ad41205e75cc78,3,0
cbd7e1ea96f0018b23ba4ec5bc285b06,1,0
ccfd98c86e7b61077857f03af80b7d0f,1,0
cd0aa8fd32e50313c088ac604f407738,0,0
cef2ea09f36245c2a5791e30d4718b4a,3,0
d011b9b04d04a1b75f638f4c2f22f298,1,0
d22caca6e9dd9d4331771f9040a625d8,0,0
