artist_id,artist_name
5368493,Forró Boys
320399,Mallu Magalhães
5930355,Groove Soul
75055,Beach House
11176080,Yellow Days
4719014,Voz da Verdade
153993132,Gil Boiadeiro
5566782,Matheus Fernandes
146539022,Renanzin Pressão
10800486,Forrueiros
4876653,Henrique & Juliano
13097199,NATTAN
415,Nirvana
110746,Alceu Valença
263731,Marcos & Belutti
1624980,Alabama Shakes
3973121,King Gizzard And The Lizard Wizard
86509042,Wunderhorse
869,The Verve
10799102,Oliver Tree
13112,Paul Engemann
743,Blur
339209,J. Cole
5454687,Hungria Hip Hop
70970,Ponto De Equilíbrio
68221232,Zé Vaqueiro
1646315,Mumuzinho
5576810,Zé Felipe
1327,KoЯn
2216,Lamb of God
117,Slipknot
892,Coldplay
4718238,Walter De Afogados
141995332,Chefin
12896823,Pineapple StormTv
8218,Tech N9ne
63912472,Mc Poze do Rodo
2127,Disturbed
9945222,Jorja Smith
75781,Vampire Weekend
77225192,Musique Classique Maestro Mozy
9264920,Mette Henriette
2046,Martin Solveig
1128,Tom Waits
14,Gorillaz
1169,José González
113,Rage Against the Machine
4043887,L'Impératrice
352176,Hubert-Félix Thiéfaine
1999,Sufjan Stevens
182,Red Hot Chili Peppers
9492,Mina
1255216,Frankel
7890702,Marshmello
3128,Supertramp
1042268,Angèle
847,The Doors
134790,Tame Impala
119,Metallica
6275,Linton Kwesi Johnson
1445,Paul Simon
59070642,Tones and I
13011,Soprano
744,Nina Simone
14803,Toploader
207,Electric Light Orchestra
3307,Patti Smith
8473,Frédéric Chopin
282118,Major Lazer
407295,Pretty Lights
4134,Visage
55835,Queen Samantha
11206178,Kyle Dixon & Michael Stein
278432,Hypnotic Brass Ensemble
848,Led Zeppelin
3668401,Skinshape
405,Johnny Cash
752,Suprême NTM
1192,Tears for Fears
118994662,Dj Tony
1201007,BOMBINO
398298,Agnes Obel
6577523,Czech String Ensemble
1422,Asian Dub Foundation
259467,Orelsan
926,Kraftwerk
1461005,Musique de Relaxation
145,Beyoncé
195083,Kitty Kallen
3841221,Jhené Aiko
1020109,Black Eyed Peas
76118,Gavin Greenaway
77140422,Sunday Service Choir
553,Santana
14482665,Summer Walker
4768753,Kygo
6032634,Ofenbach
74787,Madcon
5767206,Shouse
5992092,Kungs
148144592,Matt
2518,Fonky Family
4106348,Bakermat
8706544,Dua Lipa
1069,Portishead
751,Sinik
259,Michael Jackson
5200025,Lizzo
805,John Williams
